,Longitude,Latitude,vv,vh
113,-73.977,40.791,348.0,259.0
114,-73.976,40.77,162.0,95.0
115,-73.976,40.771,177.0,117.0
116,-73.976,40.786,400.5,254.5
117,-73.976,40.787,457.0,271.0
118,-73.976,40.79,443.0,227.0
119,-73.975,40.77,223.0,126.0
120,-73.975,40.771,349.0,137.0
121,-73.975,40.786,472.0,279.0
122,-73.975,40.789,341.0,207.0
123,-73.975,40.79,409.0,256.0
124,-73.975,40.792,422.0,239.5
125,-73.975,40.793,667.0,396.0
126,-73.975,40.794,450.0,278.0
127,-73.974,40.769,258.5,150.5
128,-73.974,40.77,195.0,127.0
129,-73.974,40.785,354.0,240.0
130,-73.974,40.786,429.0,207.0
131,-73.974,40.789,456.0,277.0
132,-73.974,40.79,873.0,416.0
133,-73.974,40.792,469.0,212.0
134,-73.974,40.793,576.0,290.0
135,-73.974,40.794,533.0,341.0
136,-73.974,40.795,360.5,222.0
137,-73.973,40.764,470.0,221.0
138,-73.973,40.765,302.0,169.0
139,-73.973,40.769,251.0,138.0
140,-73.973,40.785,384.0,198.0
141,-73.973,40.786,143.0,119.0
142,-73.973,40.789,358.0,233.0
143,-73.973,40.79,306.0,368.0
144,-73.973,40.791,565.0,304.0
145,-73.973,40.792,568.0,300.0
146,-73.973,40.795,398.5,171.0
147,-73.973,40.796,435.0,341.0
148,-73.973,40.797,558.0,241.0
149,-73.972,40.764,466.0,386.5
150,-73.972,40.765,284.0,158.0
151,-73.972,40.766,271.0,149.5
152,-73.972,40.767,224.0,150.0
153,-73.972,40.768,343.0,158.0
154,-73.972,40.769,237.0,141.5
155,-73.972,40.784,601.0,398.0
156,-73.972,40.785,414.5,238.5
157,-73.972,40.788,312.0,297.0
158,-73.972,40.789,502.0,256.0
159,-73.972,40.791,558.0,281.0
160,-73.972,40.792,337.0,190.0
161,-73.972,40.796,528.0,467.0
162,-73.972,40.797,657.0,411.0
163,-73.972,40.798,638.0,219.0
164,-73.971,40.764,1738.0,1376.0
165,-73.971,40.765,1101.0,989.0
166,-73.971,40.766,253.0,146.0
167,-73.971,40.767,275.0,161.5
168,-73.971,40.768,251.0,131.0
169,-73.971,40.769,246.0,131.0
170,-73.971,40.784,411.0,286.0
171,-73.971,40.785,535.0,309.0
172,-73.971,40.788,402.5,315.0
173,-73.971,40.789,390.0,232.0
174,-73.971,40.79,270.5,189.0
175,-73.971,40.791,406.0,198.0
176,-73.971,40.797,502.0,225.0
177,-73.971,40.798,626.5,270.0
178,-73.97,40.765,623.0,311.0
179,-73.97,40.766,736.0,365.0
180,-73.97,40.768,326.5,169.0
181,-73.97,40.784,699.0,417.0
182,-73.97,40.785,493.0,323.0
183,-73.97,40.788,360.5,247.0
184,-73.97,40.79,532.0,327.5
185,-73.97,40.791,688.0,324.0
186,-73.97,40.794,310.0,183.0
187,-73.97,40.795,324.0,241.0
188,-73.969,40.765,837.5,518.0
189,-73.969,40.785,328.0,279.0
190,-73.969,40.787,341.0,231.0
191,-73.969,40.788,368.5,203.0
192,-73.969,40.79,390.0,180.0
193,-73.969,40.793,384.0,235.0
194,-73.969,40.794,403.0,250.5
195,-73.968,40.762,619.0,434.0
196,-73.968,40.763,369.0,216.0
197,-73.968,40.764,442.0,289.0
198,-73.968,40.765,577.0,373.0
199,-73.968,40.784,240.0,151.0
200,-73.968,40.785,230.5,108.5
201,-73.968,40.787,789.0,469.5
202,-73.968,40.789,244.0,138.0
203,-73.968,40.79,230.0,135.5
204,-73.968,40.793,481.0,259.0
205,-73.968,40.8,339.0,176.0
206,-73.968,40.801,356.0,235.0
207,-73.968,40.802,251.0,151.0
208,-73.968,40.803,376.0,161.0
209,-73.968,40.805,344.5,172.5
210,-73.968,40.806,232.0,107.0
211,-73.967,40.762,508.0,321.0
212,-73.967,40.763,419.0,239.0
213,-73.967,40.764,360.0,222.0
214,-73.967,40.765,559.0,271.0
215,-73.967,40.784,188.0,107.5
216,-73.967,40.785,206.0,118.0
217,-73.967,40.789,636.0,320.0
218,-73.967,40.793,429.0,285.0
219,-73.967,40.794,591.0,467.0
220,-73.967,40.8,459.0,233.0
221,-73.967,40.801,184.0,104.0
222,-73.967,40.802,240.0,127.0
223,-73.967,40.803,490.0,335.0
224,-73.967,40.804,444.0,220.0
225,-73.967,40.805,323.0,112.0
226,-73.967,40.806,254.0,123.0
227,-73.967,40.807,285.0,159.0
228,-73.967,40.808,386.0,167.5
229,-73.966,40.761,513.0,275.5
230,-73.966,40.762,441.0,284.0
231,-73.966,40.784,218.0,118.0
232,-73.966,40.793,390.0,269.0
233,-73.966,40.794,396.0,313.0
234,-73.966,40.799,222.0,115.0
235,-73.966,40.8,377.0,255.0
236,-73.966,40.804,355.5,252.0
237,-73.966,40.808,277.0,167.0
238,-73.966,40.809,252.0,170.0
239,-73.965,40.761,393.5,253.0
240,-73.965,40.783,110.0,70.0
241,-73.965,40.784,188.0,124.0
242,-73.965,40.792,493.0,268.0
243,-73.965,40.793,400.0,203.0
244,-73.965,40.799,367.0,157.0
245,-73.965,40.8,332.0,107.0
246,-73.965,40.808,673.0,411.0
247,-73.965,40.809,375.0,268.0
248,-73.964,40.76,737.5,427.0
249,-73.964,40.761,1468.0,862.0
250,-73.964,40.782,256.0,137.5
251,-73.964,40.783,216.0,116.0
252,-73.964,40.784,205.5,144.5
253,-73.964,40.792,292.0,168.0
254,-73.964,40.793,804.0,286.0
255,-73.964,40.799,528.0,235.0
256,-73.964,40.803,408.0,301.0
257,-73.964,40.808,527.0,423.0
258,-73.964,40.809,524.0,464.0
259,-73.963,40.76,375.5,326.0
260,-73.963,40.781,168.0,117.0
261,-73.963,40.782,220.0,110.0
262,-73.963,40.783,261.0,172.0
263,-73.963,40.791,248.5,134.5
264,-73.963,40.792,219.0,119.0
265,-73.963,40.798,442.0,196.0
266,-73.963,40.799,301.5,192.0
267,-73.963,40.802,775.0,446.0
268,-73.963,40.803,324.0,233.5
269,-73.963,40.808,393.0,359.0
270,-73.963,40.809,676.0,360.0
271,-73.963,40.81,264.0,251.0
272,-73.962,40.759,858.0,411.0
273,-73.962,40.76,498.0,234.0
274,-73.962,40.78,340.0,268.5
275,-73.962,40.781,221.0,146.0
276,-73.962,40.791,209.0,117.0
277,-73.962,40.792,162.0,85.0
278,-73.962,40.798,494.0,289.0
279,-73.962,40.802,564.0,411.0
280,-73.962,40.803,235.0,157.0
281,-73.962,40.81,570.0,364.0
282,-73.961,40.759,723.0,343.0
283,-73.961,40.76,475.0,205.0
284,-73.961,40.772,749.0,289.0
285,-73.961,40.773,444.0,256.0
286,-73.961,40.78,472.0,243.0
287,-73.961,40.79,178.0,93.0
288,-73.961,40.791,238.0,119.5
289,-73.961,40.797,530.0,334.0
290,-73.961,40.798,368.5,229.0
291,-73.961,40.802,447.0,253.0
292,-73.961,40.81,678.0,392.0
293,-73.96,40.759,665.5,504.0
294,-73.96,40.772,1006.0,441.0
295,-73.96,40.773,547.0,342.0
296,-73.96,40.774,533.0,296.0
297,-73.96,40.78,458.0,303.0
298,-73.96,40.781,652.0,282.0
299,-73.96,40.79,304.0,150.0
300,-73.96,40.791,291.0,113.5
301,-73.96,40.797,1127.0,846.0
302,-73.96,40.798,465.0,305.0
303,-73.96,40.799,563.5,308.0
304,-73.96,40.801,648.5,251.5
305,-73.96,40.802,222.0,124.0
306,-73.96,40.809,1654.0,606.0
307,-73.96,40.81,956.0,606.0
308,-73.96,40.817,322.0,160.0
309,-73.96,40.818,282.0,130.0
310,-73.96,40.819,209.0,105.0
311,-73.96,40.82,232.0,164.0
312,-73.959,40.759,420.0,318.0
313,-73.959,40.76,467.0,358.0
314,-73.959,40.764,491.0,324.0
315,-73.959,40.765,682.0,424.0
316,-73.959,40.774,778.0,390.0
317,-73.959,40.775,479.0,285.0
318,-73.959,40.78,545.0,405.0
319,-73.959,40.781,511.0,290.5
320,-73.959,40.782,785.0,494.0
321,-73.959,40.79,219.0,109.0
322,-73.959,40.799,533.0,303.5
323,-73.959,40.8,417.0,227.0
324,-73.959,40.809,774.0,603.0
325,-73.959,40.81,461.0,308.0
326,-73.959,40.816,419.0,188.0
327,-73.959,40.817,582.0,184.0
328,-73.959,40.819,220.5,108.5
329,-73.959,40.82,186.0,119.5
330,-73.959,40.821,99.0,70.0
331,-73.958,40.76,940.0,652.0
332,-73.958,40.761,695.0,514.0
333,-73.958,40.762,526.0,310.0
334,-73.958,40.763,334.0,201.0
335,-73.958,40.764,531.0,287.0
336,-73.958,40.765,348.5,284.0
337,-73.958,40.766,498.0,393.0
338,-73.958,40.774,818.0,361.0
339,-73.958,40.775,519.5,297.5
340,-73.958,40.777,538.5,283.5
341,-73.958,40.781,683.0,334.0
342,-73.958,40.782,606.0,399.0
343,-73.958,40.783,877.0,567.0
344,-73.958,40.789,216.0,106.5
345,-73.958,40.79,167.0,96.0
346,-73.958,40.8,505.0,189.0
347,-73.958,40.805,198.0,106.0
348,-73.958,40.806,222.5,105.0
349,-73.958,40.807,188.0,95.0
350,-73.958,40.81,521.5,263.0
351,-73.958,40.811,376.0,281.0
352,-73.958,40.812,365.0,220.0
353,-73.958,40.814,343.0,191.0
354,-73.958,40.815,381.0,185.0
355,-73.958,40.816,378.0,192.5
356,-73.958,40.817,678.0,640.0
357,-73.958,40.821,106.0,66.0
358,-73.958,40.822,412.0,162.0
359,-73.957,40.761,542.0,358.0
360,-73.957,40.762,498.0,338.0
361,-73.957,40.763,402.0,269.0
362,-73.957,40.764,545.0,250.0
363,-73.957,40.765,435.0,219.0
364,-73.957,40.766,768.0,708.0
365,-73.957,40.767,339.0,211.0
366,-73.957,40.774,709.5,465.5
367,-73.957,40.775,390.0,217.0
368,-73.957,40.776,808.0,489.0
369,-73.957,40.777,572.0,446.0
370,-73.957,40.778,447.0,263.0
371,-73.957,40.779,534.5,274.0
372,-73.957,40.783,762.0,536.0
373,-73.957,40.784,448.0,205.5
374,-73.957,40.789,233.5,116.0
375,-73.957,40.79,214.5,106.5
376,-73.957,40.791,187.0,99.0
377,-73.957,40.805,265.0,143.5
378,-73.957,40.806,220.5,90.0
379,-73.957,40.807,175.0,94.0
380,-73.957,40.808,166.0,83.0
381,-73.957,40.811,418.5,238.0
382,-73.957,40.812,401.0,287.5
383,-73.957,40.813,257.0,170.0
384,-73.957,40.814,438.0,147.5
385,-73.957,40.815,228.0,127.0
386,-73.957,40.816,354.0,233.0
387,-73.957,40.817,1380.0,955.0
388,-73.957,40.818,331.0,267.0
389,-73.957,40.822,285.5,93.0
390,-73.957,40.823,423.5,114.0
391,-73.956,40.763,299.0,167.0
392,-73.956,40.766,495.0,304.0
393,-73.956,40.767,502.0,334.0
394,-73.956,40.768,876.0,491.0
395,-73.956,40.773,451.0,402.0
396,-73.956,40.774,682.0,341.0
397,-73.956,40.776,632.0,321.5
398,-73.956,40.777,452.5,268.5
399,-73.956,40.778,440.0,246.0
400,-73.956,40.779,686.0,412.0
401,-73.956,40.78,365.0,220.0
402,-73.956,40.783,693.0,531.5
403,-73.956,40.789,279.0,111.5
404,-73.956,40.791,204.0,112.0
405,-73.956,40.792,229.0,121.0
406,-73.956,40.795,247.5,111.0
407,-73.956,40.796,289.0,118.0
408,-73.956,40.797,275.0,142.0
409,-73.956,40.804,449.0,258.0
410,-73.956,40.805,277.0,187.5
411,-73.956,40.808,190.0,109.0
412,-73.956,40.809,176.0,91.0
413,-73.956,40.812,628.5,155.0
414,-73.956,40.813,340.0,132.0
415,-73.956,40.814,228.5,115.5
416,-73.956,40.815,252.0,124.5
417,-73.956,40.818,261.0,145.5
418,-73.956,40.819,327.0,155.0
419,-73.956,40.823,399.5,152.0
420,-73.955,40.768,358.0,263.0
421,-73.955,40.769,620.0,366.0
422,-73.955,40.773,572.0,315.0
423,-73.955,40.774,650.5,377.0
424,-73.955,40.776,705.0,365.0
425,-73.955,40.78,424.0,266.0
426,-73.955,40.781,596.0,329.0
427,-73.955,40.782,394.0,335.0
428,-73.955,40.783,273.0,195.0
429,-73.955,40.786,535.5,326.0
430,-73.955,40.787,537.0,372.0
431,-73.955,40.788,566.0,320.0
432,-73.955,40.789,225.0,139.0
433,-73.955,40.792,240.0,108.0
434,-73.955,40.793,115.0,74.0
435,-73.955,40.794,202.0,112.0
436,-73.955,40.795,256.0,116.0
437,-73.955,40.796,231.0,111.5
438,-73.955,40.797,188.0,96.0
439,-73.955,40.798,240.0,106.0
440,-73.955,40.799,180.0,125.0
441,-73.955,40.804,407.0,262.0
442,-73.955,40.805,249.0,184.0
443,-73.955,40.809,198.5,109.0
444,-73.955,40.81,293.0,128.5
445,-73.955,40.811,319.5,143.5
446,-73.955,40.812,365.0,127.0
447,-73.955,40.818,389.0,294.5
448,-73.955,40.819,239.0,170.0
449,-73.955,40.822,504.0,209.0
450,-73.955,40.823,302.0,181.0
451,-73.954,40.768,504.0,335.0
452,-73.954,40.769,409.0,243.0
453,-73.954,40.774,483.0,345.0
454,-73.954,40.775,523.0,313.0
455,-73.954,40.776,400.0,236.5
456,-73.954,40.781,492.5,239.0
457,-73.954,40.782,535.0,262.0
458,-73.954,40.783,503.0,292.0
459,-73.954,40.786,320.0,178.5
460,-73.954,40.787,419.0,261.0
461,-73.954,40.788,514.0,279.0
462,-73.954,40.795,239.0,121.0
463,-73.954,40.796,223.0,113.0
464,-73.954,40.797,234.5,117.0
465,-73.954,40.798,226.0,110.0
466,-73.954,40.799,194.0,97.0
467,-73.954,40.804,427.0,255.0
468,-73.954,40.811,260.5,145.0
469,-73.954,40.812,254.5,145.0
470,-73.954,40.817,376.0,276.0
471,-73.954,40.818,400.0,258.0
472,-73.954,40.822,412.0,260.5
473,-73.954,40.823,488.0,342.0
474,-73.953,40.768,607.0,519.0
475,-73.953,40.769,565.0,871.0
476,-73.953,40.774,434.5,277.0
477,-73.953,40.775,584.0,454.0
478,-73.953,40.786,644.0,369.5
479,-73.953,40.787,618.5,391.0
480,-73.953,40.795,216.0,118.0
481,-73.953,40.796,204.0,121.0
482,-73.953,40.798,201.0,98.0
483,-73.953,40.803,496.0,271.0
484,-73.953,40.804,377.0,192.5
485,-73.953,40.81,584.0,371.0
486,-73.953,40.811,373.0,222.0
487,-73.953,40.812,239.0,174.0
488,-73.953,40.813,263.0,191.0
489,-73.953,40.817,406.0,163.0
490,-73.953,40.818,363.0,198.0
491,-73.953,40.819,358.0,181.0
492,-73.953,40.822,372.0,240.0
493,-73.953,40.823,456.0,306.0
494,-73.952,40.768,682.5,775.5
495,-73.952,40.769,594.5,444.0
496,-73.952,40.77,510.5,316.5
497,-73.952,40.773,437.0,299.0
498,-73.952,40.774,596.0,275.0
499,-73.952,40.775,486.0,318.0
500,-73.952,40.787,427.0,211.0
501,-73.952,40.788,448.5,298.0
502,-73.952,40.798,219.0,123.0
503,-73.952,40.803,429.0,236.0
504,-73.952,40.804,264.0,143.0
505,-73.952,40.811,557.0,324.0
506,-73.952,40.812,496.0,238.5
507,-73.952,40.813,458.0,286.0
508,-73.952,40.814,736.0,306.0
509,-73.952,40.818,417.0,183.5
510,-73.952,40.819,440.0,238.0
511,-73.952,40.822,372.5,201.0
512,-73.952,40.823,497.0,202.0
513,-73.952,40.827,262.0,119.0
514,-73.952,40.828,243.0,125.0
515,-73.951,40.77,389.0,235.5
516,-73.951,40.771,465.0,263.5
517,-73.951,40.772,357.0,219.0
518,-73.951,40.773,641.0,305.0
519,-73.951,40.774,566.0,352.0
520,-73.951,40.788,338.5,285.0
521,-73.951,40.789,417.5,223.5
522,-73.951,40.79,250.0,162.0
523,-73.951,40.797,140.0,82.0
524,-73.951,40.798,192.0,103.0
525,-73.951,40.804,466.0,160.0
526,-73.951,40.805,588.5,192.0
527,-73.951,40.806,372.0,223.0
528,-73.951,40.812,418.0,268.0
529,-73.951,40.813,426.0,298.0
530,-73.951,40.814,514.0,284.0
531,-73.951,40.815,371.5,166.0
532,-73.951,40.818,259.5,104.5
533,-73.951,40.819,227.0,140.0
534,-73.951,40.821,556.0,318.0
535,-73.951,40.822,406.0,258.0
536,-73.951,40.826,382.0,236.0
537,-73.951,40.827,400.0,209.0
538,-73.951,40.828,243.0,174.0
539,-73.95,40.771,647.0,558.0
540,-73.95,40.772,603.0,341.0
541,-73.95,40.773,748.0,367.0
542,-73.95,40.774,421.0,247.5
543,-73.95,40.79,273.0,139.0
544,-73.95,40.791,357.0,159.0
545,-73.95,40.794,975.0,536.0
546,-73.95,40.797,253.0,135.0
547,-73.95,40.798,230.0,101.0
548,-73.95,40.802,461.5,412.5
549,-73.95,40.803,152.0,98.0
550,-73.95,40.806,508.0,341.0
551,-73.95,40.807,413.0,430.0
552,-73.95,40.812,536.0,311.0
553,-73.95,40.813,499.0,289.5
554,-73.95,40.815,428.0,210.0
555,-73.95,40.816,529.0,225.0
556,-73.95,40.817,225.0,113.0
557,-73.95,40.818,348.0,161.0
558,-73.95,40.821,602.5,409.5
559,-73.95,40.822,559.0,337.0
560,-73.95,40.823,403.0,224.0
561,-73.95,40.826,344.0,172.0
562,-73.95,40.827,389.0,228.5
563,-73.95,40.828,415.0,205.0
564,-73.949,40.772,712.5,598.0
565,-73.949,40.773,869.0,491.0
566,-73.949,40.774,921.0,605.0
567,-73.949,40.786,789.0,545.0
568,-73.949,40.79,321.5,181.0
569,-73.949,40.793,376.0,185.0
570,-73.949,40.794,489.0,295.0
571,-73.949,40.795,474.0,398.0
572,-73.949,40.796,381.0,215.0
573,-73.949,40.797,208.0,120.0
574,-73.949,40.801,267.0,184.0
575,-73.949,40.802,406.0,265.0
576,-73.949,40.803,404.5,228.5
577,-73.949,40.804,354.0,171.0
578,-73.949,40.806,302.0,216.0
579,-73.949,40.807,281.0,200.0
580,-73.949,40.809,255.0,155.0
581,-73.949,40.812,363.0,224.0
582,-73.949,40.813,384.5,269.0
583,-73.949,40.814,286.0,178.0
584,-73.949,40.823,349.0,203.0
585,-73.949,40.824,426.0,190.0
586,-73.949,40.826,530.0,255.0
587,-73.949,40.827,405.0,297.0
588,-73.949,40.828,368.0,167.0
589,-73.948,40.773,525.0,377.0
590,-73.948,40.778,298.0,200.0
591,-73.948,40.779,668.0,507.0
592,-73.948,40.78,422.0,237.0
593,-73.948,40.785,428.0,379.0
594,-73.948,40.786,421.0,345.0
595,-73.948,40.787,462.0,169.5
596,-73.948,40.788,577.0,232.0
597,-73.948,40.789,710.0,277.5
598,-73.948,40.79,440.0,253.0
599,-73.948,40.793,370.0,161.0
600,-73.948,40.795,345.0,204.0
601,-73.948,40.796,546.0,265.0
602,-73.948,40.797,409.5,201.0
603,-73.948,40.801,439.0,351.0
604,-73.948,40.802,447.0,275.0
605,-73.948,40.804,335.0,188.0
606,-73.948,40.805,294.0,194.0
607,-73.948,40.806,351.0,167.0
608,-73.948,40.807,320.0,300.0
609,-73.948,40.808,281.0,105.0
610,-73.948,40.809,468.0,248.0
611,-73.948,40.81,707.0,445.0
612,-73.948,40.811,284.0,410.0
613,-73.948,40.814,426.0,235.0
614,-73.948,40.815,469.0,286.0
615,-73.948,40.824,375.0,169.0
616,-73.948,40.825,390.0,198.0
617,-73.948,40.826,379.5,194.5
618,-73.948,40.827,337.0,201.0
619,-73.948,40.828,564.0,365.0
620,-73.947,40.772,516.0,391.0
621,-73.947,40.773,449.0,325.0
622,-73.947,40.778,302.5,209.0
623,-73.947,40.779,524.0,307.0
624,-73.947,40.78,674.0,471.0
625,-73.947,40.781,552.0,281.0
626,-73.947,40.785,620.5,408.5
627,-73.947,40.786,709.0,487.0
628,-73.947,40.788,540.5,290.0
629,-73.947,40.789,485.0,298.0
630,-73.947,40.79,326.0,229.0
631,-73.947,40.792,299.0,199.0
632,-73.947,40.793,287.0,183.0
633,-73.947,40.796,327.0,169.0
634,-73.947,40.8,196.0,106.0
635,-73.947,40.801,410.0,248.0
636,-73.947,40.805,418.5,186.0
637,-73.947,40.806,218.5,128.0
638,-73.947,40.808,363.0,307.0
639,-73.947,40.809,322.0,139.0
640,-73.947,40.81,270.0,221.5
641,-73.947,40.811,335.0,193.0
642,-73.947,40.812,287.5,134.5
643,-73.947,40.814,246.0,147.0
644,-73.947,40.815,637.0,348.0
645,-73.947,40.827,516.0,310.0
646,-73.946,40.772,695.0,371.5
647,-73.946,40.773,731.0,447.0
648,-73.946,40.774,986.0,601.0
649,-73.946,40.778,488.0,341.0
650,-73.946,40.781,560.0,468.5
651,-73.946,40.782,884.0,255.0
652,-73.946,40.785,158.0,118.0
653,-73.946,40.786,246.0,174.0
654,-73.946,40.787,240.0,112.0
655,-73.946,40.789,347.0,344.0
656,-73.946,40.792,560.0,323.0
657,-73.946,40.793,351.0,262.0
658,-73.946,40.8,401.0,265.0
659,-73.946,40.801,505.0,266.0
660,-73.946,40.812,259.0,142.0
661,-73.946,40.813,289.0,160.0
662,-73.946,40.814,335.0,194.0
663,-73.945,40.774,1488.0,951.0
664,-73.945,40.775,550.0,352.0
665,-73.945,40.777,520.0,310.0
666,-73.945,40.778,300.0,175.0
667,-73.945,40.782,531.0,318.0
668,-73.945,40.783,550.0,335.0
669,-73.945,40.784,614.0,397.5
670,-73.945,40.786,294.0,185.0
671,-73.945,40.787,323.0,172.0
672,-73.945,40.788,348.5,198.0
673,-73.945,40.791,400.0,178.0
674,-73.945,40.792,412.0,220.0
675,-73.945,40.8,400.5,203.0
676,-73.945,40.801,243.0,145.0
677,-73.945,40.813,284.5,217.0
678,-73.945,40.814,282.0,225.0
679,-73.944,40.775,236.0,207.0
680,-73.944,40.776,517.0,374.5
681,-73.944,40.777,588.0,320.0
682,-73.944,40.783,506.0,476.0
683,-73.944,40.784,293.0,176.0
684,-73.944,40.785,437.0,254.5
685,-73.944,40.787,278.0,166.0
686,-73.944,40.791,330.0,231.0
687,-73.944,40.792,370.0,267.0
688,-73.944,40.8,239.5,129.5
689,-73.944,40.801,297.5,206.5
690,-73.944,40.802,525.0,275.0
691,-73.943,40.777,743.0,417.0
692,-73.943,40.785,385.0,307.0
693,-73.943,40.786,332.0,213.0
694,-73.943,40.787,216.0,132.0
695,-73.943,40.791,562.0,288.0
696,-73.943,40.802,477.0,213.0
697,-73.943,40.803,210.0,148.0
698,-73.943,40.804,207.0,119.0
699,-73.942,40.786,445.0,338.0
700,-73.942,40.787,532.0,453.0
701,-73.942,40.79,395.0,277.0
702,-73.942,40.791,571.0,316.0
703,-73.942,40.803,193.0,116.0
704,-73.942,40.804,192.0,107.0
705,-73.942,40.805,199.0,101.0
706,-73.941,40.79,580.0,407.0
707,-73.941,40.804,210.0,101.5
708,-73.941,40.805,169.0,94.0
709,-73.94,40.79,458.0,243.0
710,-73.94,40.804,338.0,151.0
711,-73.94,40.805,434.0,139.5
712,-73.939,40.802,494.0,270.0
713,-73.939,40.803,386.5,264.0
714,-73.939,40.804,419.0,162.0
715,-73.939,40.805,205.0,78.0
716,-73.939,40.852,301.0,166.0
717,-73.939,40.853,325.0,163.0
718,-73.938,40.802,468.0,272.0
719,-73.938,40.803,362.5,266.0
720,-73.938,40.804,303.0,162.0
721,-73.938,40.852,232.0,127.0
722,-73.938,40.853,268.0,141.0
723,-73.938,40.854,351.0,160.0
724,-73.937,40.801,279.0,167.5
725,-73.937,40.802,333.0,268.0
726,-73.937,40.853,304.5,137.5
727,-73.937,40.854,310.0,202.0
728,-73.937,40.855,295.0,161.5
729,-73.937,40.856,326.5,166.0
730,-73.936,40.799,226.0,151.0
731,-73.936,40.8,341.0,196.0
732,-73.936,40.801,465.0,300.0
733,-73.936,40.802,614.5,276.5
