,Longitude,Latitude,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
48,-73.984,40.775,928.5,928.0,1061.0,1131.0,1284.5,1626.0,1724.0,1544.0,1704.0,1762.0,1549.5
49,-73.984,40.776,791.5,640.0,687.5,715.5,842.5,896.0,886.5,697.5,956.5,1183.0,1070.5
50,-73.984,40.78,935.5,1224.0,1339.0,1502.0,1520.0,1720.5,1745.5,1794.0,1789.5,1678.0,1447.5
51,-73.984,40.781,885.5,949.0,1097.0,1151.0,1269.0,1903.0,1942.0,2139.0,2096.0,1804.25,1468.0
52,-73.984,40.782,1057.5,2049.0,2240.0,2385.0,2468.0,2636.5,2793.0,2537.0,2730.5,2365.5,2157.5
53,-73.984,40.783,859.0,955.25,1040.5,1095.0,1334.5,1683.75,1781.75,1585.0,1841.75,1700.5,1244.5
54,-73.984,40.784,736.0,629.5,779.5,656.5,1131.5,1899.0,2235.0,2680.0,2438.5,1635.0,1105.0
55,-73.984,40.785,562.0,701.0,816.5,778.5,910.0,1913.5,2264.5,1909.0,2266.0,1513.0,950.0
56,-73.984,40.786,672.5,945.0,1172.0,1083.0,1436.5,2090.5,2371.5,2274.0,2449.0,1748.5,1388.5
57,-73.983,40.768,1225.0,1303.0,1499.5,1484.0,1953.0,2579.25,2728.75,2310.0,2776.0,2397.25,1868.5
58,-73.983,40.772,1670.0,1072.0,1187.0,1138.0,1337.0,2091.5,2255.0,2695.0,2422.0,1923.0,1429.0
59,-73.983,40.773,1905.5,2524.0,2760.5,3134.0,2715.5,2699.25,2865.0,3453.0,2933.25,3177.5,2394.75
60,-73.983,40.774,1744.5,2561.0,2901.0,3211.0,2934.25,3130.25,3283.25,3574.0,3344.75,3499.75,3119.75
61,-73.983,40.775,1010.0,970.0,1168.0,1209.0,1506.0,1634.0,1713.0,1799.0,1742.5,1910.5,1603.0
62,-73.983,40.776,952.5,897.0,1031.5,1067.0,1266.5,1981.5,2172.5,1997.0,2235.5,1907.5,1593.0
63,-73.983,40.781,946.0,1087.0,1085.0,1195.0,1206.0,1598.0,1728.5,1986.0,1793.0,1643.0,1295.0
64,-73.983,40.782,958.5,1054.75,1175.0,1292.0,1312.5,1719.5,1887.0,1984.0,1924.5,1798.0,1508.5
65,-73.983,40.783,1058.0,1124.0,1197.0,1407.0,1668.0,2006.0,2084.0,2016.0,2091.5,2225.5,1888.0
66,-73.983,40.784,936.5,908.5,988.0,934.0,1096.0,1452.5,1528.0,1469.0,1633.5,1380.5,1059.5
67,-73.983,40.785,715.0,710.0,812.5,741.0,1096.0,2047.5,2391.5,2353.0,2561.0,1645.25,1098.0
68,-73.982,40.768,1037.0,1075.75,1197.5,1213.5,1377.25,1770.75,1890.5,1848.0,2013.0,1686.0,1363.25
69,-73.982,40.769,993.0,1108.0,1150.0,1269.0,1496.5,1440.5,1447.5,1297.0,1460.5,1585.5,1439.0
70,-73.982,40.77,909.0,1045.5,1126.5,1022.0,1638.0,1836.0,1874.0,1667.0,1937.0,2334.5,2047.5
71,-73.982,40.771,1096.5,1341.0,1426.0,1598.5,1629.0,1841.75,1944.5,1913.0,2062.0,1818.0,1582.0
72,-73.982,40.772,998.0,1028.5,1096.0,1057.5,1228.5,1719.5,1959.0,1853.0,2080.5,1492.5,1126.5
73,-73.982,40.773,1905.5,1607.5,1778.5,1933.0,2484.0,2613.5,2784.0,2148.0,2886.5,3177.5,2394.0
74,-73.982,40.774,1971.0,1992.0,2147.0,2386.0,2932.0,3004.0,3174.5,2842.0,3145.5,3336.0,2787.0
75,-73.982,40.775,886.5,1244.0,1343.0,1436.0,1506.0,1706.0,1876.5,1801.0,1867.0,1872.5,1542.5
76,-73.982,40.776,944.0,1412.5,1605.0,1747.5,1896.5,2155.0,2319.5,2275.0,2331.0,2295.5,1965.5
77,-73.982,40.782,960.5,1159.0,1227.0,1324.0,1213.0,1524.5,1627.0,1565.0,1543.0,1768.0,1576.0
78,-73.982,40.783,1058.0,1201.0,1334.0,1447.0,1673.5,1952.0,2106.5,2156.0,2200.5,2047.5,1755.0
79,-73.982,40.784,1227.5,1234.0,1384.0,1545.5,1574.5,1942.5,2070.0,2123.0,2132.5,1987.0,1676.0
80,-73.981,40.768,806.0,1389.0,1504.0,1621.5,1610.5,1757.0,1838.0,1750.0,1930.0,1643.0,1341.0
81,-73.981,40.769,745.0,1221.0,1385.0,1453.0,1639.0,1799.5,1885.0,1893.0,1888.0,1982.5,1635.5
82,-73.981,40.77,667.0,1393.0,1623.0,1794.0,1636.75,1810.0,1965.0,2058.0,2049.5,2122.75,1809.75
83,-73.981,40.771,928.0,1306.0,1557.0,1606.0,2136.5,2579.5,2637.0,2646.0,2885.5,2790.5,2364.0
84,-73.981,40.784,1175.5,1167.5,1343.0,1425.0,1345.0,1638.0,1695.5,1894.0,1764.0,1880.0,1613.5
85,-73.981,40.787,1019.0,1815.0,1934.0,2128.0,2095.0,2275.0,2427.5,2341.0,2371.0,2505.0,2328.0
86,-73.981,40.788,825.5,976.5,1134.0,1236.0,1473.5,1928.0,2043.0,1950.0,2111.0,2047.0,1756.0
87,-73.981,40.789,975.0,1493.0,1532.0,1657.0,1670.0,1855.5,1954.5,2074.0,1956.5,2149.5,1966.0
88,-73.98,40.77,682.75,942.25,1034.75,1039.75,1389.0,1923.5,2068.5,1887.0,2074.0,1916.75,1592.5
89,-73.98,40.771,630.5,801.0,873.0,935.5,1081.5,1773.5,2174.5,1800.0,2226.5,1679.0,1339.5
90,-73.98,40.786,996.5,692.0,939.0,887.5,1489.0,1931.0,2069.5,1986.0,2026.0,1901.5,1669.0
91,-73.98,40.787,1353.5,1778.0,1761.0,1761.0,2223.0,2827.5,2958.0,2713.0,2903.5,2892.5,2551.0
92,-73.98,40.788,825.5,769.5,831.5,859.75,1254.75,1787.75,1951.75,2156.0,1923.25,1871.75,1631.5
93,-73.98,40.789,1138.5,1434.0,1576.0,1733.0,1742.0,1855.5,1983.75,2147.0,1972.75,2214.25,1986.25
94,-73.98,40.79,924.0,1268.5,1360.0,1465.0,1728.5,1955.0,2062.5,1947.0,2071.0,2114.5,1853.5
95,-73.98,40.791,1221.0,1579.0,1743.5,1839.5,1907.0,1934.5,1962.0,2104.5,1947.0,2291.5,2284.5
96,-73.979,40.771,901.5,668.0,771.5,625.5,1313.0,2084.0,2422.0,2686.0,2541.5,1920.5,1388.0
97,-73.979,40.772,469.0,526.5,683.5,647.0,834.5,2043.0,2440.0,2141.0,2679.0,1564.5,913.5
98,-73.979,40.786,848.5,944.5,1070.0,1098.0,1214.5,1342.5,1407.5,1424.0,1417.5,1566.5,1355.5
99,-73.979,40.787,996.5,645.0,722.25,758.0,1003.5,1153.0,1268.0,992.25,1272.0,1447.5,1307.5
100,-73.979,40.79,1221.0,1186.0,1297.0,1477.0,2087.0,2378.5,2243.5,1720.0,2462.5,2662.5,2569.5
101,-73.979,40.791,1542.0,2259.0,2532.0,2697.0,2831.5,3006.0,3131.0,2799.0,3034.0,3226.0,3170.0
102,-73.978,40.772,485.0,477.0,627.75,484.0,844.5,2265.5,2768.0,2954.5,2979.5,1650.5,933.0
103,-73.978,40.786,859.5,798.25,884.75,905.0,1266.25,1628.5,1768.5,1697.0,1783.5,1628.0,1355.5
104,-73.978,40.787,939.0,515.0,651.0,598.0,958.5,1378.0,1457.5,1461.0,1546.0,1335.0,1118.5
105,-73.978,40.79,1262.5,793.0,993.5,951.0,1480.5,2187.5,2380.0,2429.5,2397.5,2301.5,1994.0
106,-73.978,40.791,1342.5,1547.0,1624.0,1598.0,2064.0,2289.5,2496.5,2495.0,2576.5,2555.5,2290.5
107,-73.977,40.771,396.5,515.25,651.0,570.5,823.5,2398.25,2991.5,2719.0,3104.0,1733.0,933.0
108,-73.977,40.772,485.0,794.5,922.0,959.5,1189.5,2175.0,2406.5,2364.0,2611.5,1798.0,1299.5
109,-73.977,40.786,1390.5,1517.0,1590.5,1698.0,1686.0,1867.0,1976.75,2119.5,2060.5,2077.75,1808.5
110,-73.977,40.787,1390.5,1129.0,1246.0,1326.0,1594.0,1716.5,1872.5,1766.0,1874.0,1866.5,1621.0
111,-73.977,40.79,1298.5,1713.0,1737.0,1980.0,1610.0,1895.5,2028.0,2449.0,2105.0,2047.5,1835.0
112,-73.977,40.791,1243.0,1368.0,1454.0,1544.0,1602.0,1866.5,2021.5,1765.0,2086.25,1882.0,1686.75
113,-73.976,40.77,357.0,578.5,701.0,658.5,899.5,1960.0,2434.0,2524.0,2779.0,1596.0,962.0
114,-73.976,40.771,396.5,478.75,649.5,523.75,869.0,2343.25,2956.25,2941.0,3169.5,1640.5,865.5
115,-73.976,40.786,1521.0,1130.0,1312.0,1316.0,1608.5,2266.5,2604.5,2499.0,2588.0,2112.5,1617.5
116,-73.976,40.787,1390.5,1675.0,1816.0,1748.0,1885.0,2046.5,2215.0,2485.0,2227.0,2455.0,2170.5
117,-73.976,40.79,966.5,1003.25,1090.0,1147.0,1221.5,1323.5,1419.0,1457.5,1469.5,1615.0,1527.0
118,-73.976,40.791,1034.5,816.5,830.0,868.0,1063.0,1265.5,1135.0,1701.0,1265.0,1312.5,886.0
119,-73.975,40.77,379.0,423.0,549.0,400.75,742.0,2572.0,3360.0,3335.0,3605.0,1756.0,869.0
120,-73.975,40.771,357.0,299.0,424.5,237.5,674.5,2462.0,3221.0,3269.0,3506.0,1581.0,732.0
121,-73.975,40.786,1396.0,1208.0,1432.0,1466.0,1760.5,2170.5,2477.0,2459.5,2560.5,2550.5,2245.75
122,-73.975,40.789,1328.5,1559.0,1819.0,1989.0,2055.5,2057.0,2119.5,2263.0,2165.0,2196.0,1778.5
123,-73.975,40.79,1044.5,1183.5,1341.5,1407.0,1366.5,1788.5,1865.25,1988.5,1906.5,1692.0,1351.5
124,-73.975,40.792,1050.5,1036.5,1118.0,1228.0,1498.5,1814.5,1893.0,1677.0,1904.75,2070.5,1769.5
125,-73.975,40.793,1208.5,909.5,1035.0,1058.0,1273.5,1560.5,1486.0,1623.0,1681.0,1649.0,1409.0
126,-73.975,40.794,1144.5,1006.25,1129.5,1224.5,1303.0,1477.0,1520.0,1749.5,1672.0,1709.5,1452.5
127,-73.974,40.769,429.0,416.5,543.0,391.0,838.5,2507.0,3259.0,3463.0,3377.5,1864.0,918.0
128,-73.974,40.77,429.0,446.0,575.5,470.0,816.0,2229.5,2513.0,2809.5,2796.0,1613.0,950.0
129,-73.974,40.785,1262.5,1305.0,1424.0,1524.0,1704.0,2035.5,2254.5,2274.0,2374.0,2443.0,2246.0
130,-73.974,40.786,1255.5,1244.0,1436.0,1446.0,1689.0,1960.5,2095.75,2055.0,2186.0,2210.0,2002.5
131,-73.974,40.789,1029.0,936.0,1012.0,1120.0,1252.5,1395.5,1490.5,1493.0,1440.5,1706.0,1495.0
132,-73.974,40.79,1254.5,1637.5,1836.0,1964.0,1978.5,2125.0,2107.5,2059.0,2164.75,2037.0,1854.0
133,-73.974,40.792,1136.0,1076.0,1081.0,1204.0,1467.5,1739.0,1884.0,1843.0,1997.0,1754.0,1573.5
134,-73.974,40.793,1097.5,1031.25,1139.0,1227.5,1427.25,1496.25,1558.0,1526.0,1750.0,2005.25,1843.5
135,-73.974,40.794,1105.0,1163.0,1298.0,1401.0,1431.5,1584.0,1708.0,1872.0,1687.5,1710.0,1524.0
136,-73.974,40.795,970.0,1160.0,1373.0,1471.0,1562.0,1778.5,1929.5,2124.0,1991.5,2163.5,1831.5
137,-73.973,40.764,995.0,914.0,985.0,995.5,1121.0,1210.5,1170.0,1225.5,1207.0,1303.25,1145.25
138,-73.973,40.765,987.0,739.25,897.0,806.0,1115.5,1982.0,2298.5,2174.0,2505.5,1756.5,1219.5
139,-73.973,40.769,439.5,464.0,645.5,483.0,885.0,2342.0,2759.0,2950.0,3036.0,1719.5,978.5
140,-73.973,40.785,1334.0,1796.0,1987.0,2049.0,2474.25,2676.5,2859.5,2531.5,2746.0,3106.75,3012.5
141,-73.973,40.786,1262.5,1217.0,1357.0,1617.0,1959.0,2150.0,2048.0,2102.0,2244.5,3025.5,2888.5
142,-73.973,40.789,1234.5,1074.0,1285.0,1284.0,1598.0,1958.5,2080.5,1906.0,2056.0,2295.0,2058.0
143,-73.973,40.79,1049.75,967.75,1004.0,1048.5,1037.5,1481.75,1536.5,1681.75,1628.75,1509.25,1202.25
144,-73.973,40.791,1606.5,2080.5,2098.5,2171.0,2132.75,2271.5,2395.0,2402.5,2402.0,2774.75,2622.25
145,-73.973,40.792,1453.0,1733.0,1786.0,1855.0,2006.75,2271.5,2395.0,2313.0,2402.0,2708.0,2450.0
146,-73.973,40.795,1130.0,1253.5,1394.5,1495.0,1616.0,1704.0,1928.5,1775.0,1936.5,2073.5,1769.0
147,-73.973,40.796,1151.5,1169.0,1342.0,1344.0,1456.0,1880.5,2050.5,2142.5,2022.0,2031.0,1740.5
148,-73.972,40.764,1272.0,1843.0,1991.0,2177.0,2193.5,2177.0,2205.0,2353.0,2103.0,2372.0,1938.0
149,-73.972,40.765,980.5,589.75,764.75,647.5,1025.5,2560.0,2931.0,2992.0,2988.0,1882.5,1088.0
150,-73.972,40.766,713.0,483.0,638.0,397.5,831.5,2754.0,3377.0,3875.0,3671.5,1978.5,933.5
151,-73.972,40.767,614.0,629.25,853.75,630.25,1054.25,2936.75,3580.75,3696.5,3782.5,2145.25,1185.75
152,-73.972,40.768,504.5,501.0,701.5,553.0,1006.0,1933.5,2260.0,2660.0,2318.0,1638.5,1065.5
153,-73.972,40.769,438.0,538.5,641.0,542.0,878.5,2454.5,2943.0,3009.0,3074.5,1802.5,981.5
154,-73.972,40.784,1213.0,1188.0,1294.0,1274.0,1340.0,1692.0,1892.0,1835.0,1929.0,1899.5,1641.0
155,-73.972,40.785,1211.5,1162.0,1185.0,1275.0,1637.5,2067.0,2276.0,2181.0,2276.0,2200.0,1891.0
156,-73.972,40.789,1191.0,927.0,1089.0,1116.0,1326.0,2243.0,2533.5,2449.5,2654.5,2121.0,1504.0
157,-73.972,40.791,1532.5,1229.0,1335.5,1325.0,1524.5,2012.5,2181.5,2006.0,2147.5,1850.0,1534.5
158,-73.972,40.796,899.0,637.0,681.0,671.5,1083.5,1392.5,1520.5,1285.0,1765.5,1499.5,1132.0
159,-73.972,40.797,1104.0,955.0,987.5,1071.0,1329.5,1601.0,1737.0,1729.0,1620.5,1693.5,1373.5
160,-73.972,40.798,995.0,2358.0,2480.0,2747.0,2103.5,2371.5,2556.5,2739.0,2385.5,2442.5,2304.0
161,-73.971,40.764,970.5,1373.0,1527.0,1554.0,1665.0,1680.5,1671.5,1592.0,1746.5,1673.0,1521.5
162,-73.971,40.765,1197.0,1716.0,1960.5,2101.5,1736.5,1782.0,1895.0,2484.5,1920.5,2319.5,2026.0
163,-73.971,40.767,812.5,722.0,872.5,641.5,1152.5,3135.5,3843.5,4079.0,3898.5,2346.5,1296.0
164,-73.971,40.768,634.5,531.5,705.0,509.5,869.0,2638.5,3377.0,3369.0,3476.0,1740.5,1008.5
165,-73.971,40.769,469.0,534.5,671.0,551.5,866.5,2162.5,2625.0,2573.0,2769.5,1653.0,959.0
166,-73.971,40.784,1181.5,1592.0,1676.5,1910.0,1868.5,2146.0,2151.0,2293.0,2231.5,2500.0,2208.5
167,-73.971,40.785,1213.0,1631.0,1699.0,1955.0,2100.5,2322.0,2378.0,2408.0,2448.5,2743.5,2523.0
168,-73.971,40.788,1198.0,985.0,1127.0,1154.0,1341.0,1729.5,1816.5,1830.0,1991.0,1870.5,1523.5
169,-73.971,40.789,805.5,690.75,847.75,806.25,1111.0,2097.0,2391.0,2354.0,2505.0,1793.5,1292.0
170,-73.971,40.79,1012.0,886.5,1119.0,1068.0,1407.0,1474.0,1593.0,1638.0,1767.0,1972.0,1424.0
171,-73.971,40.791,1108.5,1162.0,1220.0,1356.0,1820.0,2082.0,2228.5,2018.0,2263.0,2124.5,1781.0
172,-73.971,40.797,995.0,367.5,458.5,476.0,621.0,1016.5,1104.5,652.0,1133.0,1268.5,1023.0
173,-73.971,40.798,1198.5,930.0,1125.0,1186.0,1666.0,1980.25,2127.25,2037.0,2194.25,2140.0,1777.25
174,-73.97,40.765,1125.5,1399.0,1503.0,1615.0,1780.25,1822.0,1958.75,1893.0,1951.0,2204.0,1910.5
175,-73.97,40.766,1125.5,1206.5,1309.5,1400.5,1556.0,1640.0,1770.5,1757.0,1762.0,1827.5,1633.0
176,-73.97,40.768,634.5,656.75,822.75,743.5,1188.0,2423.0,2881.75,2623.5,2954.75,1903.5,1250.5
177,-73.97,40.784,1066.0,1324.0,1530.0,1717.0,1743.0,1978.0,2120.5,2095.0,2144.0,2139.5,1974.0
178,-73.97,40.785,991.0,1512.0,1741.0,1872.0,1950.5,2112.5,2358.5,2222.0,2318.5,2294.0,2019.5
179,-73.97,40.788,1252.5,970.0,1200.0,1206.5,1441.0,2322.0,2562.0,2557.0,2644.75,2130.0,1784.5
180,-73.97,40.79,946.5,863.0,984.0,974.5,1042.5,1234.5,1310.0,1439.0,1502.0,1499.75,1218.0
181,-73.97,40.791,946.5,783.0,900.75,797.25,885.5,1134.0,1273.0,1566.0,1502.0,1516.0,1039.5
182,-73.97,40.794,1180.5,1249.0,1298.0,1346.0,1557.75,1670.5,1769.5,1846.5,1841.5,1919.5,1684.0
183,-73.97,40.795,1099.5,1433.0,1589.0,1668.0,1612.5,1791.0,1837.5,1939.0,1897.5,1943.0,1711.0
184,-73.969,40.765,928.5,1293.5,1418.5,1638.0,1528.25,1776.5,1852.5,2030.0,1922.0,1962.0,1709.0
185,-73.969,40.785,991.0,1060.0,1201.0,1216.0,1419.0,1987.5,2359.0,2030.0,2318.5,1848.5,1344.5
186,-73.969,40.787,1341.0,1537.5,1546.0,1464.5,2204.75,2331.5,2445.5,2356.5,2362.0,2271.0,2038.25
187,-73.969,40.788,1394.0,1507.0,1589.0,1754.0,1819.0,2262.0,2394.75,2596.5,2468.5,2448.75,2135.0
188,-73.969,40.79,964.0,866.5,1005.0,1074.0,1236.0,1825.0,2008.5,1968.0,2046.0,1817.0,1361.0
189,-73.969,40.793,1290.5,988.5,1104.0,1210.0,1400.5,1653.0,1665.5,1546.0,1789.0,2175.0,2087.5
190,-73.969,40.794,1083.0,1155.0,1306.0,1347.0,1400.5,1786.5,1931.0,2023.0,2032.0,1982.0,1749.5
191,-73.968,40.762,1005.5,1250.0,1348.5,1422.0,1303.0,1263.5,1210.5,1400.5,1244.0,1315.5,1375.5
192,-73.968,40.763,1191.0,1409.0,1522.0,1650.0,1676.25,1722.5,1658.5,1714.0,1739.5,1885.5,1803.0
193,-73.968,40.764,1080.0,1638.0,1853.0,1850.0,1924.5,2437.0,2576.75,2606.0,2586.75,2470.5,2177.5
194,-73.968,40.765,1034.5,1327.0,1450.0,1520.0,1442.0,1847.75,1974.25,2399.0,1981.0,2052.75,1733.0
195,-73.968,40.785,426.0,504.5,631.0,512.0,880.5,2595.0,3221.5,3401.0,3467.0,1853.0,1006.0
196,-73.968,40.787,1007.0,1468.0,1560.0,1421.0,1776.0,2404.0,2622.0,2131.0,2687.0,2531.0,2066.0
197,-73.968,40.789,1118.0,1028.5,1195.0,1227.0,1617.0,1952.5,2109.0,2125.0,2224.0,2072.0,1775.0
198,-73.968,40.79,1118.0,939.0,1064.0,1085.0,1528.5,2232.5,2369.0,2482.0,2484.5,2258.5,1791.5
199,-73.968,40.793,1166.5,1218.0,1343.0,1405.0,1541.0,1653.0,1795.5,1815.0,1869.5,2175.0,2087.5
200,-73.968,40.794,1290.5,4996.0,5194.0,5700.0,4516.5,4445.5,4406.5,5170.0,4299.0,4848.0,4719.0
201,-73.968,40.8,1300.0,1255.0,1349.0,1435.0,1412.0,1668.0,1725.0,1684.0,1833.5,1781.0,1406.0
202,-73.968,40.801,1157.0,1042.0,1203.0,1277.0,1412.0,1808.5,2021.5,1957.0,2041.5,1781.0,1398.0
203,-73.968,40.802,896.5,641.0,698.0,664.5,1031.5,1644.5,1758.0,1710.0,1775.5,1393.0,988.0
204,-73.968,40.803,1066.5,633.0,854.5,813.0,1010.0,1520.5,1632.5,1704.0,1574.0,1436.0,1090.5
205,-73.968,40.805,878.0,1282.0,1371.0,1482.0,1627.5,1823.5,2019.5,1897.0,1986.0,2131.5,1784.0
206,-73.968,40.806,649.5,415.25,611.5,402.5,943.0,2097.25,2466.25,3203.5,2624.0,1668.5,1052.5
207,-73.967,40.762,1208.0,1564.0,1643.0,1811.0,1887.5,1799.5,1808.5,1735.0,1820.0,1745.5,1566.5
208,-73.967,40.763,1191.0,1298.0,1375.0,1494.0,1671.5,1678.0,1814.0,1518.0,1733.0,1792.5,1579.5
209,-73.967,40.764,1216.0,1249.0,1358.0,1564.0,1788.5,2132.0,2155.0,1963.0,2044.0,2251.0,2008.5
210,-73.967,40.765,1034.5,1442.0,1585.0,1542.0,1667.0,1865.0,2033.5,2427.0,1980.75,2097.5,1937.5
211,-73.967,40.784,474.0,529.0,688.0,572.5,929.5,2539.0,3162.5,3212.0,3371.0,1838.0,1033.5
212,-73.967,40.785,428.0,431.75,556.25,421.0,838.0,2616.25,3387.75,3510.0,3610.5,1840.5,942.5
213,-73.967,40.789,889.5,1052.0,1212.0,1288.0,1329.5,1902.5,2070.0,1857.0,2260.0,1880.0,1665.0
214,-73.967,40.793,928.5,1116.5,1181.5,1301.5,1456.5,1688.0,1897.0,1513.0,1793.0,1780.0,1419.5
215,-73.967,40.794,918.0,1085.5,1128.5,1136.0,1324.0,1859.0,1991.5,2252.0,2113.0,1780.0,1284.0
